Sensor_ID,Date,Soil_Moisture(%),Soil_pH,Temperature(C),Humidity(%),Crop_Type,Fertilizer_Recommended(kg/ha),Irrigation_Recommended(mm),Drone_Image_ID
SEN-1154,2025-06-04,79.0,5.97,34.6,34.3,Lettuce,50.3,10.5,IMG-2154
SEN-1155,2025-06-05,26.94,5.84,31.6,87.3,Maize,72.2,9.6,IMG-2155
SEN-1156,2025-06-06,57.05,6.32,34.3,61.4,Tomatoes,121.4,28.8,IMG-2156
SEN-1157,2025-06-07,63.31,4.66,26.3,48.0,Wheat,90.8,10.2,IMG-2157
SEN-1158,2025-06-08,26.63,5.08,19.9,34.6,Tomatoes,106.5,11.5,IMG-2158
SEN-1159,2025-06-09,60.98,7.08,27.3,60.0,Lettuce,148.2,29.2,IMG-2159
SEN-1160,2025-06-10,35.74,4.79,25.7,77.7,Wheat,122.2,23.4,IMG-2160
SEN-1161,2025-06-11,54.26,6.61,32.4,72.4,Tomatoes,82.1,22.5,IMG-2161
SEN-1162,2025-06-12,54.35,5.36,19.7,33.0,Lettuce,83.6,26.3,IMG-2162
SEN-1163,2025-06-13,47.5,5.86,26.3,34.4,Maize,104.3,7.9,IMG-2163
SEN-1164,2025-06-14,16.32,5.51,20.6,54.2,Lettuce,109.8,22.6,IMG-2164
SEN-1165,2025-06-15,68.47,5.74,23.5,47.7,Wheat,90.1,17.6,IMG-2165
SEN-1166,2025-06-16,32.45,7.02,30.5,43.9,Beans,107.4,25.7,IMG-2166
SEN-1167,2025-06-17,23.06,5.54,26.1,46.9,Maize,32.8,17.7,IMG-2167
SEN-1168,2025-06-18,12.85,6.48,24.4,78.2,Tomatoes,81.6,20.5,IMG-2168
SEN-1169,2025-06-19,51.36,6.17,24.7,85.8,Wheat,63.5,16.9,IMG-2169
SEN-1170,2025-06-20,57.43,6.82,25.8,54.3,Beans,45.5,17.0,IMG-2170
SEN-1171,2025-06-21,11.16,7.78,31.3,84.4,Lettuce,41.9,24.2,IMG-2171
SEN-1172,2025-06-22,45.85,7.06,33.2,49.3,Beans,102.4,20.7,IMG-2172
SEN-1173,2025-06-23,25.85,5.25,34.2,58.6,Wheat,92.8,20.8,IMG-2173
SEN-1174,2025-06-24,55.16,4.61,31.4,43.6,Wheat,60.4,16.3,IMG-2174
SEN-1175,2025-06-25,22.21,5.42,23.4,68.4,Beans,86.5,18.3,IMG-2175
SEN-1176,2025-06-26,58.37,6.58,29.7,88.7,Lettuce,89.1,23.6,IMG-2176
SEN-1177,2025-06-27,37.07,4.68,25.4,66.2,Beans,53.4,25.6,IMG-2177
SEN-1178,2025-06-28,75.57,6.24,22.3,51.5,Wheat,108.3,22.4,IMG-2178
SEN-1179,2025-06-29,19.63,6.59,32.3,68.9,Wheat,123.7,28.1,IMG-2179
SEN-1180,2025-06-30,33.87,5.67,18.7,37.4,Tomatoes,125.0,25.5,IMG-2180
SEN-1181,2025-07-01,17.94,7.2,33.3,83.3,Tomatoes,102.3,19.0,IMG-2181
SEN-1182,2025-07-02,74.73,4.87,25.8,60.2,Maize,91.4,21.8,IMG-2182
SEN-1183,2025-07-03,71.41,4.76,28.8,57.0,Wheat,37.3,28.2,IMG-2183
SEN-1184,2025-07-04,28.06,7.05,29.2,65.2,Tomatoes,64.5,20.5,IMG-2184
SEN-1185,2025-07-05,56.2,6.23,33.2,67.5,Beans,41.2,25.6,IMG-2185
SEN-1186,2025-07-06,67.21,6.91,28.8,34.3,Lettuce,145.7,22.2,IMG-2186
SEN-1187,2025-07-07,48.86,6.02,28.4,71.0,Beans,46.2,18.8,IMG-2187
SEN-1188,2025-07-08,47.08,5.36,19.1,44.5,Lettuce,48.2,11.0,IMG-2188
SEN-1189,2025-07-09,26.93,7.37,26.8,72.8,Tomatoes,136.7,15.6,IMG-2189
SEN-1190,2025-07-10,16.52,7.3,20.6,79.4,Maize,143.3,29.2,IMG-2190
SEN-1191,2025-07-11,72.81,6.93,30.5,78.2,Beans,121.9,21.4,IMG-2191
SEN-1192,2025-07-12,73.03,5.45,26.7,63.2,Beans,30.6,19.1,IMG-2192
SEN-1193,2025-07-13,54.32,6.57,29.6,61.2,Beans,30.2,28.3,IMG-2193
SEN-1194,2025-07-14,33.73,5.76,18.7,38.6,Lettuce,75.4,19.7,IMG-2194
SEN-1195,2025-07-15,34.44,4.82,19.4,76.5,Tomatoes,47.2,18.2,IMG-2195
SEN-1196,2025-07-16,60.82,7.71,30.2,46.3,Beans,32.2,24.0,IMG-2196
SEN-1197,2025-07-17,72.8,4.98,19.2,59.8,Beans,85.7,22.8,IMG-2197
SEN-1198,2025-07-18,72.1,7.83,19.2,47.1,Maize,143.2,9.8,IMG-2198
SEN-1199,2025-07-19,64.59,6.06,18.2,38.0,Maize,68.9,16.8,IMG-2199
SEN-1200,2025-07-20,54.94,5.15,34.3,67.8,Tomatoes,109.3,16.8,IMG-2200
SEN-1201,2025-07-21,15.89,6.4,30.5,33.3,Tomatoes,108.3,14.5,IMG-2201
SEN-1202,2025-07-22,21.31,7.56,24.0,74.9,Wheat,60.1,17.9,IMG-2202
SEN-1203,2025-07-23,72.9,7.06,23.0,49.1,Maize,108.1,15.3,IMG-2203
SEN-1204,2025-07-24,52.45,7.32,23.9,30.0,Wheat,55.5,10.0,IMG-2204
SEN-1205,2025-07-25,10.64,6.81,31.2,60.7,Lettuce,44.6,15.3,IMG-2205
SEN-1206,2025-07-26,17.1,6.92,29.2,32.8,Wheat,114.2,6.8,IMG-2206
SEN-1207,2025-07-27,56.45,7.47,21.1,46.6,Beans,43.6,19.4,IMG-2207
SEN-1208,2025-07-28,10.35,5.37,21.0,72.4,Wheat,149.6,26.3,IMG-2208
SEN-1209,2025-07-29,21.26,6.21,19.7,33.8,Tomatoes,52.0,23.1,IMG-2209
SEN-1210,2025-07-30,48.41,5.27,29.2,80.4,Lettuce,101.3,14.0,IMG-2210
SEN-1211,2025-07-31,58.43,7.96,31.0,30.2,Beans,79.4,7.2,IMG-2211
SEN-1212,2025-08-01,55.64,7.8,22.5,44.8,Wheat,45.2,10.1,IMG-2212
SEN-1213,2025-08-02,25.7,4.64,18.4,74.5,Lettuce,33.3,18.6,IMG-2213
SEN-1214,2025-08-03,59.85,6.97,19.4,49.0,Lettuce,104.7,10.2,IMG-2214
SEN-1215,2025-08-04,26.61,7.74,34.5,36.1,Beans,126.8,18.6,IMG-2215
SEN-1216,2025-08-05,32.78,5.13,23.0,51.6,Wheat,131.0,10.8,IMG-2216
SEN-1217,2025-08-06,62.25,6.49,31.1,46.2,Lettuce,87.9,26.2,IMG-2217
SEN-1218,2025-08-07,55.47,7.7,28.6,80.6,Lettuce,123.3,14.9,IMG-2218
SEN-1219,2025-08-08,69.45,4.62,24.5,48.8,Maize,110.7,11.1,IMG-2219
SEN-1220,2025-08-09,56.03,6.94,21.5,77.3,Lettuce,116.9,25.3,IMG-2220
SEN-1221,2025-08-10,49.78,5.54,20.1,83.5,Maize,89.1,13.6,IMG-2221
SEN-1222,2025-08-11,16.56,7.74,28.5,56.0,Wheat,106.0,7.8,IMG-2222
SEN-1223,2025-08-12,35.74,7.9,31.2,84.6,Wheat,126.7,19.3,IMG-2223
SEN-1224,2025-08-13,28.56,7.8,28.9,52.6,Wheat,77.7,19.5,IMG-2224
SEN-1225,2025-08-14,27.08,6.16,27.0,87.8,Tomatoes,126.7,22.9,IMG-2225
SEN-1226,2025-08-15,78.11,7.52,18.7,35.4,Wheat,101.0,11.0,IMG-2226
SEN-1227,2025-08-16,37.52,7.46,34.5,71.2,Lettuce,49.9,16.1,IMG-2227
SEN-1228,2025-08-17,72.44,5.62,31.6,59.6,Beans,33.0,12.1,IMG-2228
SEN-1229,2025-08-18,54.18,7.4,23.0,53.3,Maize,73.5,7.0,IMG-2229
SEN-1230,2025-08-19,65.64,4.63,34.7,68.0,Tomatoes,95.6,26.9,IMG-2230
SEN-1231,2025-08-20,45.18,6.59,28.2,72.2,Wheat,130.8,23.2,IMG-2231
SEN-1232,2025-08-21,50.38,5.31,27.9,30.3,Wheat,45.3,12.5,IMG-2232
SEN-1233,2025-08-22,44.48,4.92,30.7,40.0,Beans,126.0,20.0,IMG-2233
SEN-1234,2025-08-23,23.67,4.77,31.8,72.8,Beans,133.6,10.0,IMG-2234
SEN-1235,2025-08-24,60.57,6.94,29.2,70.0,Tomatoes,48.1,27.3,IMG-2235
SEN-1236,2025-08-25,29.65,5.69,20.2,88.0,Maize,132.2,7.9,IMG-2236
SEN-1237,2025-08-26,11.7,7.04,23.8,75.7,Wheat,149.0,5.1,IMG-2237
SEN-1238,2025-08-27,55.18,4.73,33.8,87.0,Tomatoes,117.2,17.6,IMG-2238
SEN-1239,2025-08-28,22.4,5.6,21.8,72.2,Lettuce,124.2,19.6,IMG-2239
SEN-1240,2025-08-29,75.83,6.39,24.3,47.9,Lettuce,149.3,19.5,IMG-2240
SEN-1241,2025-08-30,76.78,7.27,25.3,36.3,Tomatoes,102.7,6.4,IMG-2241
SEN-1242,2025-08-31,74.04,5.62,25.5,76.9,Wheat,66.9,12.9,IMG-2242
SEN-1243,2025-09-01,35.91,6.69,28.4,68.6,Tomatoes,130.5,17.5,IMG-2243
SEN-1244,2025-09-02,45.185,6.295,26.6,59.4,Wheat,86.3,17.4,IMG-2244
SEN-1245,2025-09-03,74.98,6.66,22.1,51.6,Beans,99.7,26.8,IMG-2245
SEN-1246,2025-09-04,39.97,5.32,20.1,87.4,Tomatoes,60.4,7.2,IMG-2246
SEN-1247,2025-09-05,77.67,4.59,21.4,60.0,Wheat,120.8,17.2,IMG-2247
SEN-1248,2025-09-06,77.45,7.55,33.1,56.0,Tomatoes,39.8,22.3,IMG-2248
SEN-1249,2025-09-07,69.71,4.57,29.0,57.5,Tomatoes,140.9,11.5,IMG-2249
SEN-1250,2025-09-08,30.61,7.56,22.9,42.5,Wheat,69.1,20.6,IMG-2250
SEN-1251,2025-09-09,36.96,6.35,31.9,52.1,Wheat,45.3,25.7,IMG-2251
SEN-1252,2025-09-10,69.58,7.79,32.6,52.2,Maize,83.1,9.8,IMG-2252
SEN-1253,2025-09-11,32.18,7.3,32.4,33.1,Tomatoes,35.1,27.9,IMG-2253
SEN-1254,2025-09-12,21.86,7.99,33.6,76.1,Lettuce,112.2,18.8,IMG-2254
SEN-1255,2025-09-13,48.98,5.73,22.3,55.0,Tomatoes,138.3,12.5,IMG-2255
SEN-1256,2025-09-14,75.53,7.19,30.8,79.3,Tomatoes,130.5,15.8,IMG-2256
SEN-1257,2025-09-15,58.72,5.91,25.8,81.0,Wheat,45.3,12.8,IMG-2257
SEN-1258,2025-09-16,49.9,6.18,32.3,42.7,Tomatoes,45.2,23.1,IMG-2258
SEN-1259,2025-09-17,16.8,6.7,30.4,69.4,Tomatoes,127.6,24.9,IMG-2259
SEN-1260,2025-09-18,53.05,7.56,31.2,58.3,Lettuce,140.9,25.8,IMG-2260
SEN-1261,2025-09-19,79.3,7.94,29.2,82.8,Wheat,85.3,29.6,IMG-2261
SEN-1262,2025-09-20,19.81,7.19,21.0,42.9,Tomatoes,89.9,24.8,IMG-2262
SEN-1263,2025-09-21,46.28,5.96,27.3,70.7,Beans,68.2,20.0,IMG-2263
SEN-1264,2025-09-22,71.42,5.97,34.7,66.5,Maize,137.3,13.5,IMG-2264
SEN-1265,2025-09-23,61.85,7.08,33.9,47.7,Wheat,107.4,18.6,IMG-2265
SEN-1266,2025-09-24,58.79,5.34,18.7,38.2,Tomatoes,64.6,6.0,IMG-2266
SEN-1267,2025-09-25,59.17,4.89,20.8,69.1,Beans,65.9,23.6,IMG-2267
SEN-1268,2025-09-26,35.16,5.74,20.2,74.3,Tomatoes,136.9,16.1,IMG-2268
SEN-1269,2025-09-27,30.55,5.51,30.3,48.9,Tomatoes,31.6,5.5,IMG-2269
SEN-1270,2025-09-28,66.66,5.54,31.9,68.7,Wheat,68.7,6.6,IMG-2270
SEN-1271,2025-09-29,66.71,5.32,21.6,53.7,Wheat,96.5,14.7,IMG-2271
SEN-1272,2025-09-30,70.7,4.65,26.6,72.8,Wheat,47.8,19.6,IMG-2272
SEN-1273,2025-10-01,73.93,4.56,32.3,42.0,Beans,41.1,16.6,IMG-2273
